	word	correct	n1	suggest
172	منشور		0.0	
173	فيسبوك		0.0	
174	\n		0.0	
175	أذكر		0.0	
176	عندما		0.0	
177	كنت		0.0	
178	أقطن		0.0	
179	بلجيكا		0.0	
180	أخباراً		0.0	
181	عن		0.0	
182	إدراج		0.0	
183	""""		0.0	
184	حق		0.0	
185	الحصول		0.0	
186	على		0.0	
187	الماء		0.0	
188	الصالح		0.0	
189	للشرب		0.0	
190	""""		0.0	
191	في		0.0	
192	قائمة		0.0	
193	حقوق		0.0	
194	الإنسان		0.0	
195	وفي		0.0	
196	الدستور		0.0	
197	أو		0.0	
198	القانون		0.0	
199	وقد		0.0	
200	تم		0.0	
201	.		0.0	
202	وكان		0.0	
203	من		0.0	
204	نتائج		0.0	
205	ذلك		0.0	
206	منع		0.0	
207	شركة		0.0	
208	الماء		0.0	
209	من		0.0	
210	قطعه		0.0	
211	عن		0.0	
212	أي		0.0	
213	مواطن		0.0	
214	لا		0.0	
215	يستطيع		0.0	
216	دفع		0.0	
217	ثمن		0.0	
218	الخدمة		0.0	
219	.\n		0.0	
220	بل		0.0	
221	بعض		0.0	
222	الدول		0.0	
223	الأوروبية		0.0	
224	أدرجت		0.0	
225	في		0.0	
226	دستورها		0.0	
227	""""		0.0	
228	حق		0.0	
229	الماء		0.0	
230	""""		0.0	
231	مع		0.0	
232	بند		0.0	
233	يمنع		0.0	
234	من		0.0	
235	خصخصته		0.0	
236	(		0.0	
237	أو		0.0	
238	خوصصته		0.0	
239	،		0.0	
240	أي		0.0	
241	إسناد		0.0	
242	تسييره		0.0	
243	إلى		0.0	
244	شركات		0.0	
245	خاصة		0.0	
246	كما		0.0	
247	هو		0.0	
248	الحال		0.0	
249	مع		0.0	
250	الكهرباء		0.0	
251	والغاز		0.0	
252	والأنترت		3.0	والأنترنت;وال أنترت;وامتلأنا
253	والهاتف		0.0	
254	وجمع		0.0	
255	النفايات		0.0	
256	).		0.0	
257	لكن		0.0	
258	في		0.0	
259	بعض		0.0	
260	بلدان		0.0	
261	أمريكا		0.0	
262	الجنوبية		0.0	
263	موارد		0.0	
264	الماء		0.0	
265	وضعت		0.0	
266	عليها		0.0	
267	المافيا		0.0	
268	العالمية		0.0	
269	يدها		0.0	
270	كما		0.0	
271	هو		0.0	
272	الحال		0.0	
273	مع		0.0	
274	آبار		0.0	
275	البترول		0.0	
276	عندنا		0.0	
277	،		0.0	
278	على		0.0	
279	الأقل		0.0	
280	هو		0.0	
281	موضوع		0.0	
282	عدة		0.0	
283	روايات		0.0	
284	علم		0.0	
285	الخيال		0.0	
286	وأفلام		0.0	
287	هوليود		0.0	
288	.\n		0.0	
289	وأذكر		0.0	
290	عندما		0.0	
291	كنت		0.0	
292	أقطن		0.0	
293	باريس		0.0	
294	لافتات		0.0	
295	إشهار		0.0	
296	لشركة		0.0	
297	المياه		0.0	
298	المحلية		0.0	
299	تتباهى		0.0	
300	بصفاء		0.0	
301	ماء		0.0	
302	الحنفية		0.0	
303	ولم		0.0	
304	أكن		0.0	
305	أشرب		0.0	
306	ماءاً		13.0	ماساً;ماءا;ماءً;ماصاً;ماءاه;ماداً;ماءاك;ماءان;ماناً;مالاً;ماءاي;موءاً;ماراً
307	غيره		0.0	
308	،		0.0	
309	فما		0.0	
310	بال		0.0	
311	الشركة		0.0	
312	الفرنسية		0.0	
313	سيال		0.0	
314	عندنا		0.0	
315	!\n		0.0	
316	**********\n		0.0	
317	محمد		0.0	
318	عوالمية		10.0	وعالمية;عوالمي;عولمية;عالمية;والعمية;والمعية;والميعة;عوا لمية;عوالمي ة;عوالم
319	\n		0.0	
320	منشور		0.0	
321	فيسبوك		0.0	
322	\n		0.0	
323	\n		0.0	
324	هل		0.0	
325	كتبت		0.0	
326	خطبة		0.0	
327	عرفة		0.0	
328	في		0.0	
329	البيت		0.0	
330	الأبيض		0.0	
331	الأمريكي		0.0	
332	???\n		0.0	
333	سؤال		0.0	
334	قد		0.0	
335	يبدو		0.0	
336	غريبا		0.0	
337	ولكنه		0.0	
338	مشروع		0.0	
339	في		0.0	
340	تقديري		0.0	
341	.		0.0	
342	فالخطبة		0.0	
343	جوفاء		0.0	
344	جدا		0.0	
345	\n		0.0	
346	\n		0.0	
347	تجنبت		0.0	
348	كل		0.0	
349	الموضوعات		0.0	
350	التي		0.0	
351	يمكن		0.0	
352	أن		0.0	
353	تجرح		0.0	
354	شعور		0.0	
355	الولايات		0.0	
356	المتحدة		0.0	
357	ورئيسهابما		1.0	ويستبرئوا
358	في		0.0	
359	ذلك		0.0	
360	قضية		0.0	
361	فلسطين		0.0	
362	,		0.0	
363	بل		0.0	
364	إن		0.0	
365	الخطيب		0.0	
366	بخل		0.0	
367	كثيرا		0.0	
368	من		0.0	
369	شؤون		0.0	
370	المسلمين		0.0	
371	حتى		0.0	
372	من		0.0	
373	الدعاء		0.0	
374	مما		0.0	
375	جعلني		0.0	
376	أتساءل		0.0	
377	هذا		0.0	
378	السؤال		0.0	
379	وأنا		0.0	
380	أعتقد		0.0	
381	جازما		0.0	
382	أنها		0.0	
383	كتبت		0.0	
384	هناك		0.0	
385	وإن		0.0	
386	كان		0.0	
387	القلم		0.0	
388	سعوديا		0.0	
389	والخطيب		0.0	
390	من		0.0	
391	آل		0.0	
392	شيخ		0.0	
393	والمكان		0.0	
394	ـمع		0.0	
395	الأسف		0.0	
396	الشديد		0.0	
397	ـ		15.0	ذ;ض;ص;ث;ق;ف;غ;ع;ه;خ;ح;ج;د;ط;ك
398	طاهر		0.0	
399	مقدس		0.0	
400	واليوم		0.0	
401	خير		0.0	
402	يوم		0.0	
403	طلعت		0.0	
404	فيه		0.0	
405	الشمس		0.0	
406	.\n		0.0	
407	فالله		0.0	
408	نسأل		0.0	
409	اللطف		0.0	
410	في		0.0	
411	مقدساتنا		0.0	
412	.\n		0.0	
413	\n		0.0	
414	************\n		0.0	
415	\n		0.0	
416	لموتُ		0.0	
417	للأعداء		0.0	
418	والحرية		0.0	
419	للوطن		0.0	
420	..\n		0.0	
421	\n		0.0	
422	حينما		0.0	
423	كان		0.0	
424	العدو		0.0	
425	واحدًا		0.0	
426	وكنا		0.0	
427	نتمنى		0.0	
428	له		0.0	
429	الموت		0.0	
430	دون		0.0	
431	تخوين		0.0	
432	من		0.0	
433	أحد		0.0	
434	..\n		0.0	
435	\n		0.0	
436	عندما		0.0	
437	كانت		0.0	
438	مشانقنا		0.0	
439	تعرف		0.0	
440	أي		0.0	
441	الرؤوس		0.0	
442	تحمل		0.0	
443	..		0.0	
444	ومناجلُنا		0.0	
445	تهتدي		0.0	
446	إلى		0.0	
447	الرقاب		0.0	
448	التي		0.0	
449	تستحق		0.0	
450	العناق		0.0	
451	..\n		0.0	
452	\n		0.0	
453	ما		0.0	
454	الحبّ		0.0	
455	الا		15.0	ألا;إلا;آلا;تلا;غلا;الغ;لا;ذالا;ضالا;صالا;قالا;فالا;غالا;عالا;هالا
456	للحبيب		0.0	
457	الأوّل		0.0	
458	..\n		0.0	
459	\n		0.0	
460	حينما		0.0	
461	كانت		0.0	
462	المحبّة		0.0	
463	مركبة		0.0	
464	صبحٍ		0.0	
465	وترنيمة		0.0	
466	إشراق		0.0	
467	،		0.0	
468	حيث		0.0	
469	التلاميذ		0.0	
470	وصغار		0.0	
471	العسكر		0.0	
472	وجميلات		0.0	
473	القرية		0.0	
474	بكامل		0.0	
475	وقارهنّ		0.0	
476	وحشمتهنّ		0.0	
477	،		0.0	
478	على		0.0	
479	مثلث		0.0	
480	قريتنا		0.0	
481	بانتظار		0.0	
482	حافلات		0.0	
483	العلم		0.0	
484	والبناء		0.0	
485	..\n		0.0	
486	\n		0.0	
487	حين		0.0	
488	كان		0.0	
489	الرفض		0.0	
490	في		0.0	
491	مهده		0.0	
492	مُتلعثمًا		0.0	
493	،		0.0	
494	مُتوجّسًا		0.0	
495	،		0.0	
496	وخجولًا		0.0	
497	،		0.0	
498	وكنتُ		0.0	
499	أنا		0.0	
500	سيّدة		0.0	
501	للمواقيت		0.0	
502	وأميرة		0.0	
503	للطرقات		0.0	
504	.\n		0.0	
505	\n		0.0	
506	*		0.0	
507	أعلم		0.0	
508	معنى		0.0	
509	مرور		0.0	
510	الزمن		0.0	
511	وأعلم		0.0	
512	أني		0.0	
513	أُدافع		0.0	
514	-		0.0	
515	دون		0.0	
516	جدوى		0.0	
517	-		0.0	
518	عن		0.0	
519	تلك		0.0	
520	المساحة		0.0	
521	التي		0.0	
522	لا		0.0	
523	أريد		0.0	
524	أن		0.0	
525	يستولي		0.0	
526	عليها		0.0	
527	أحد		0.0	
528	سواك		0.0	
529	.\n		0.0	
530	\n		0.0	
531	وأعلم		0.0	
532	أني		0.0	
533	ورغم		0.0	
534	خيباتي		0.0	
535	كُلّها		0.0	
536	لازلت		15.0	لأزلت;لأظلت;لأذلة;لأذلت;لزالت;لتزلا;بازلت;لغزلت;لزلت;لغازلت;لهازلت;لنازلت;لبازلت;لزلات;لزلتا
537	أبحث		0.0	
538	-		0.0	
539	في		0.0	
540	الخفاء		0.0	
541	-		0.0	
542	عن		0.0	
543	أسلحة		0.0	
544	أشدّ		0.0	
545	فتكًا		0.0	
546	بالعدو		0.0	
547	من		0.0	
548	مُجرّد		0.0	
549	نصٍّ		0.0	
550	بائس		0.0	
551	ميّت		0.0	
552	،		0.0	
553	سيحيا		0.0	
554	-		0.0	
555	حين		0.0	
556	أموت		0.0	
557	أنا		0.0	
558	وأنصار		0.0	
559	العدوّ		0.0	
560	-		0.0	
561	ووحده		0.0	
562	يبقى		0.0	
563	الوطن		0.0	
564	.\n		0.0	
565	\n		0.0	
566	*		0.0	
567	وأعلم		0.0	
568	أن		0.0	
569	الذين		0.0	
570	يموتون		0.0	
571	لا		0.0	
572	ينهضون		0.0	
573	،		0.0	
574	لا		0.0	
575	يمرّون		0.0	
576	من		0.0	
577	هنا		0.0	
578	،		0.0	
579	لا		0.0	
580	يشتهون		0.0	
581	النساء		0.0	
582	،		0.0	
583	ولا		0.0	
584	يُشاركوننا		0.0	
585	القهوة		0.0	
586	السمراء		0.0	
587	في		0.0	
588	الأعياد		0.0	
589	وفي		0.0	
590	جاهات		0.0	
591	العُرس		0.0	
592	ولا		0.0	
593	في		0.0	
594	بيوت		0.0	
595	العزاء		0.0	
596	.\n		0.0	
597	\n		0.0	
598	وأعلم		0.0	
599	أني		0.0	
600	لن		0.0	
601	أستعيد		0.0	
602	طفولتي		0.0	
603	و		0.0	
604	قد		0.0	
605	لا		0.0	
606	أحيا		0.0	
607	طويلًا		0.0	
608	..\n		0.0	
609	\n		0.0	
610	و		0.0	
611	أن		0.0	
612	قريتي		0.0	
613	ما		0.0	
614	عادت		0.0	
615	كما		0.0	
616	كانت		0.0	
617	،		0.0	
618	وأن		0.0	
619	أهلها		0.0	
620	ما		0.0	
621	عاد		0.0	
622	يعنيهم		0.0	
623	من		0.0	
624	أمر		0.0	
625	مروري		0.0	
626	أو		0.0	
627	غيابي		0.0	
628	إلا		0.0	
629	نتائج		0.0	
630	تمرّدي		0.0	
631	وحكايات		0.0	
632	انحيازي		0.0	
633	للتعب		0.0	
634	.\n		0.0	
635	\n		0.0	
636	*		0.0	
637	بالمناسبة		0.0	
638	..\n		0.0	
639	\n		0.0	
640	أهل		0.0	
641	قريتي		0.0	
642	لا		0.0	
643	يرفضون		0.0	
644	إلا		0.0	
645	في		0.0	
646	الدكاكين		0.0	
647	وفي		0.0	
648	قاعات		0.0	
649	الانتظار		0.0	
650	في		0.0	
651	المستشفيات		0.0	
652	الحكومية		0.0	
653	،		0.0	
654	يغضبون		0.0	
655	بهمس		0.0	
656	،		0.0	
657	ويتذمّرون		0.0	
658	على		0.0	
659	رؤوس		0.0	
660	أصابعهم		0.0	
661	،		0.0	
662	ولا		0.0	
663	يتمرّدون		0.0	
664	إلا		0.0	
665	على		0.0	
666	تمرّدي		0.0	
667	أنا		0.0	
668	وأمثالي		0.0	
669	.\n		0.0	
670	\n		0.0	
671	يعشقون		0.0	
672	الجيش		0.0	
673	والحقل		0.0	
674	والمحراث		0.0	
675	وضجيج		0.0	
676	المزاريب		0.0	
677	ومواسم		0.0	
678	القطاف		0.0	
679	،		0.0	
680	ولا		0.0	
681	شيء		0.0	
682	يُضيء		0.0	
683	وجوه		0.0	
684	الفلاحين		0.0	
685	في		0.0	
686	قريتي		0.0	
687	كما		0.0	
688	المطر		0.0	
689	وأنباء		0.0	
690	(		0.0	
691	مُنخفضٍ		0.0	
692	)		0.0	
693	قُطبيّ		0.0	
694	او		15.0	أو;آو;وا;لو;تو;و;اذو;ذاو;اضو;ضاو;اصو;صاو;اثو;اقو;قاو
695	قادم		0.0	
696	من		0.0	
697	قُبرص		0.0	
698	.\n		0.0	
699	\n		0.0	
700	–		0.0	
701	نعم		0.0	
702	..		0.0	
703	هم		0.0	
704	كذلك		0.0	
705	.\n		0.0	
706	\n		0.0	
707	يحبّون		0.0	
708	الملك		0.0	
709	؟\n		0.0	
710	\n		0.0	
711	–		0.0	
712	لا		0.0	
713	أدري		0.0	
714	إن		0.0	
715	كان		0.0	
716	اسمُ		0.0	
717	ذلك		0.0	
718	حُبّا		0.0	
719	..		0.0	
720	لكنهم		0.0	
721	(		0.0	
722	بلا		0.0	
723	شك		0.0	
724	)		0.0	
725	يخشون		0.0	
726	البديل		0.0	
727	..\n		0.0	
728	\n		0.0	
729	يكرهون		0.0	
730	البرد		0.0	
731	وفكرة		0.0	
732	النوم		0.0	
733	في		0.0	
734	العراء		0.0	
735	،		0.0	
736	واستجداء		0.0	
737	حرس		0.0	
738	الحدود		0.0	
739	والوقوف		0.0	
740	في		0.0	
741	طوابير		0.0	
742	توزيع		0.0	
743	المؤن		0.0	
744	.\n		0.0	
745	\n		0.0	
746	*		0.0	
747	بالمناسبة		0.0	
748	ايضا		0.0	
749	:\n		0.0	
750	\n		0.0	
751	من		0.0	
752	قال		0.0	
753	إني		0.0	
754	أكره		0.0	
755	الملك		0.0	
756	-		0.0	
757	ملك		0.0	
758	بلدي		0.0	
759	أنا		0.0	
760	-		0.0	
761	فقد		0.0	
762	كذب		0.0	
763	.\n		0.0	
764	\n		0.0	
765	ومن		0.0	
766	قال		0.0	
767	إني		0.0	
768	أحبّه		0.0	
769	،		0.0	
770	فقد		0.0	
771	ظلمني		0.0	
772	وظلم		0.0	
773	الحبّ		0.0	
774	.\n		0.0	
775	\n		0.0	
776	هو		0.0	
777	شأن		0.0	
778	قلبي		0.0	
779	،		0.0	
780	قد		0.0	
781	لا		0.0	
782	أحبّك		0.0	
783	لكني		0.0	
784	لا		0.0	
785	أكرهك		0.0	
786	..\n		0.0	
787	\n		0.0	
788	قد		0.0	
789	لا		0.0	
790	أُطيقك		0.0	
791	ولا		0.0	
792	أحترم		0.0	
793	لصوصيّتك		0.0	
794	وخُبثك		0.0	
795	وتبعيّتك		0.0	
796	لشقيقٍ		0.0	
797	أشدّ		0.0	
798	خبثًا		0.0	
799	منك		0.0	
800	\n		0.0	
801	\n		0.0	
802	إلا		0.0	
803	أني		0.0	
804	لا		0.0	
805	أتمنى		0.0	
806	لك		0.0	
807	ولا		0.0	
808	لشقيقك		0.0	
809	أي		0.0	
810	سوء		0.0	
811	من		0.0	
812	أيّ		0.0	
813	نوع		0.0	
814	.\n		0.0	
815	\n		0.0	
816	*		0.0	
817	قد		0.0	
818	أتمرّد		0.0	
819	عليك		0.0	
820	وأرفضك		0.0	
821	وأكشف		0.0	
822	موبقاتٍ		0.0	
823	ارتكبتَ		0.0	
824	وحماقات		0.0	
825	اقترفت		0.0	
826	،		0.0	
827	لكني		0.0	
828	معك		0.0	
829	على		0.0	
830	الموت		0.0	
831	إن		0.0	
832	أصلحت		0.0	
833	.\n		0.0	
834	\n		0.0	
835	*		0.0	
836	قد		0.0	
837	لا		0.0	
838	أذكر		0.0	
839	خيرًا		0.0	
840	فعلت		0.0	
841	،		0.0	
842	قد		0.0	
843	لا		0.0	
844	أهتف		0.0	
845	لفوزٍ		0.0	
846	حققت		0.0	
847	.\n		0.0	
848	\n		0.0	
849	قد		0.0	
850	لا		0.0	
851	أقول		0.0	
852	شكرًا		0.0	
853	لمنحة		0.0	
854	منك		0.0	
855	أو		0.0	
856	مكرمة		0.0	
857	هي		0.0	
858	من		0.0	
859	حقي		0.0	
860	\n		0.0	
861	\n		0.0	
862	وأكثر		0.0	
863	مطالبنا		0.0	
864	حقوق		0.0	
865	..		0.0	
866	يا		0.0	
867	ملوك		0.0	
868	المنّ		0.0	
869	والأذى		0.0	
870	.\n		0.0	
871	\n		0.0	
872	*		0.0	
873	قد		0.0	
874	لا		0.0	
875	أُشير		0.0	
876	إلى		0.0	
877	حسنك		0.0	
878	؛		0.0	
879	لأنك		0.0	
880	غارق		0.0	
881	بقُبحٍ		0.0	
882	بيّن		0.0	
883	.\n		0.0	
884	\n		0.0	
885	قد		0.0	
886	لا		0.0	
887	أبوح		0.0	
888	بحُبّي		0.0	
889	لك		0.0	
890	؛		0.0	
891	لأنك		0.0	
892	لا		0.0	
893	تليق		15.0	تليف;لتيق;تلقي;لتقي;يلتق;قليت;تقيل;عليق;تفيق;تلبق;تليث;تلي;تلق;تيق;ليق
894	بقلبي		0.0	
895	.\n		0.0	
896	\n		0.0	
897	ولطالما		0.0	
898	قلت		0.0	
899	لك		0.0	
900	:\n		0.0	
901	\n		0.0	
902	أصلح		0.0	
903	!\n		0.0	
904	\n		0.0	
905	أصلح		0.0	
906	..		0.0	
907	يا		0.0	
908	من		0.0	
909	لا		0.0	
910	دوام		0.0	
911	لعرشه		0.0	
912	،		0.0	
913	ولا		0.0	
914	قدرة		0.0	
915	لسلطانه		0.0	
916	على		0.0	
917	مُجابهة		0.0	
918	الموت		0.0	
919	.\n		0.0	
920	\n		0.0	
921	أصلح		0.0	
922	..		0.0	
923	ولأبحثنّ		0.0	
924	لك		0.0	
925	في		0.0	
926	بطون		0.0	
927	الكُتب		0.0	
928	عن		0.0	
929	خير		0.0	
930	فعلتَ		0.0	
931	،		0.0	
932	ولأجدنّ		0.0	
933	لتقصيرك		0.0	
934	معذرة		0.0	
935	.\n		0.0	
936	\n		0.0	
937	لكنك		0.0	
938	،		0.0	
939	لا		0.0	
940	تراني		0.0	
941	ولا		0.0	
942	تريد		0.0	
943	أن		0.0	
944	أرى		0.0	
945	فيك		0.0	
946	حسنًا		0.0	
947	قد		0.0	
948	يقلب		0.0	
949	المُعادلة		0.0	
950	لصالحك		0.0	
951	أنت		0.0	
952	،		0.0	
953	قبل		0.0	
954	أن		0.0	
955	أحظى		0.0	
956	أنا		0.0	
957	بنتيجة		0.0	
958	تُرضيني		0.0	
959	.\n		0.0	
960	\n		0.0	
961	وعليه		0.0	
962	؛\n		0.0	
963	\n		0.0	
964	لن		0.0	
965	أرى		0.0	
966	خيرك		0.0	
967	الا		15.0	ألا;إلا;آلا;تلا;غلا;الغ;لا;ذالا;ضالا;صالا;قالا;فالا;غالا;عالا;هالا
968	إن		0.0	
969	أردتّ		0.0	
970	بنفسك		0.0	
971	خيرًا		0.0	
972	،		0.0	
973	ولا		0.0	
974	سقوط		0.0	
975	لمن		0.0	
976	سقط		0.0	
977	ولا		0.0	
978	مهابة		0.0	
979	لملكٍ		0.0	
980	نادت		0.0	
981	الرعيّة		0.0	
982	-		0.0	
983	بسقوطه		0.0	
984	-		0.0	
985	ولو		0.0	
986	همسًا		0.0	
987	!\n		0.0	
988	\n		0.0	
989	******\n		0.0	
990	\n		0.0	
991	*		0.0	
992	حين		0.0	
993	أتأمّل		0.0	
994	مجاهدًا		0.0	
995	في		0.0	
996	ميدان		0.0	
997	\n		0.0	
998	\n		0.0	
999	ثائرًا		0.0	
1000	في		0.0	
1001	مدينة		0.0	
1002	\n		0.0	
1003	\n		0.0	
1004	صامدًا		0.0	
1005	في		0.0	
1006	خندق		0.0	
1007	\n		0.0	
1008	\n		0.0	
1009	مُتمرّدًا		0.0	
1010	في		0.0	
1011	زمن		0.0	
1012	القحط		0.0	
1013	وموت		0.0	
1014	الرجال		0.0	
1015	،		0.0	
1016	أقول		0.0	
1017	في		0.0	
1018	نفسي		0.0	
1019	:\n		0.0	
1020	\n		0.0	
1021	كأن		0.0	
1022	الناس		0.0	
1023	يبحثون		0.0	
1024	عن		0.0	
1025	حياة		0.0	
1026	أكثر		0.0	
1027	صدقًا		0.0	
1028	في		0.0	
1029	الموت		0.0	
1030	الأكثر		0.0	
1031	واقعية		0.0	
1032	.\n		0.0	
1033	\n		0.0	
1034	وأعود		0.0	
1035	وأتذكّر		0.0	
1036	:\n		0.0	
1037	\n		0.0	
1038	أن		0.0	
1039	في		0.0	
1040	بلادنا		0.0	
1041	ليس		0.0	
1042	من		0.0	
1043	داعٍ		0.0	
1044	لأحدٍ		0.0	
1045	أن		0.0	
1046	يحيا		0.0	
1047	معاناة		0.0	
1048	خاصة		0.0	
1049	أو		0.0	
1050	عامة		0.0	
1051	،		0.0	
1052	ليصبح		0.0	
1053	مبدعًا		0.0	
1054	؛		0.0	
1055	لأنه		0.0	
1056	وببساطة		0.0	
1057	يولد		0.0	
1058	مسحوقًا		0.0	
1059	بامتياز		0.0	
1060	.\n		0.0	
1061	\n		0.0	
1062	ورغم		0.0	
1063	أني		0.0	
1064	أعرف		0.0	
1065	أن		0.0	
1066	تلك		0.0	
1067	المسافة		0.0	
1068	الفاصلة		0.0	
1069	بين		0.0	
1070	الأنوف		0.0	
1071	التي		0.0	
1072	يعبرها		0.0	
1073	البحر		0.0	
1074	وتلك		0.0	
1075	الملأى		0.0	
1076	بعفونة		0.0	
1077	النهار		0.0	
1078	-		0.0	
1079	متوحّشة		0.0	
1080	موحشة		0.0	
1081	وطويلة		0.0	
1082	-		0.0	
1083	إلا		0.0	
1084	أنها		0.0	
1085	على		0.0	
1086	مرمى		0.0	
1087	يقين		0.0	
1088	يسبقه		0.0	
1089	(		0.0	
1090	حب		0.0	
1091	)!\n		0.0	
1092	نعم		0.0	
1093	..		0.0	
1094	أتحدث		0.0	
1095	عن		0.0	
1096	الحب		0.0	
1097	!\n		0.0	
1098	\n		0.0	
1099	وأعلم		0.0	
1100	أن		0.0	
1101	القلب		0.0	
1102	لَيفعلُ		0.0	
1103	أشياء		0.0	
1104	لا		0.0	
1105	يدرك		0.0	
1106	العقل		0.0	
1107	منطقها		0.0	
1108	،		0.0	
1109	وأدرك		0.0	
1110	أني		0.0	
1111	أقيس		0.0	
1112	الحبّ		0.0	
1113	كما		0.0	
1114	الرفض		0.0	
1115	بأدواتٍ		0.0	
1116	لا		0.0	
1117	تُشبه		0.0	
1118	محتويات		0.0	
1119	عُلب		0.0	
1120	الهندسة		0.0	
1121	.\n		0.0	
1122	\n		0.0	
1123	فالفرجار		0.0	
1124	والإغريق		0.0	
1125	وإقليدس		7.0	وإقليدي;وإقليد;وإقليدسي;وإقليده;وإقليدا;وإقليد س;إقليدسي
1126	ونظرية		0.0	
1127	الخط		0.0	
1128	المستقيم		0.0	
1129	كما		0.0	
1130	الزوايا		0.0	
1131	القائمة		0.0	
1132	،		0.0	
1133	وبقية		0.0	
1134	الثوابت		0.0	
1135	والبديهيات		0.0	
1136	لم		0.0	
1137	تعُد		0.0	
1138	إلا		0.0	
1139	فصلًا		0.0	
1140	في		0.0	
1141	كتاب		0.0	
1142	قد		0.0	
1143	أعود		0.0	
1144	إليه		0.0	
1145	كلّ		0.0	
1146	قليل		0.0	
